id,publication_id,edition_id,title,author_creator,date_period,year,place_of_publishing,publisher,language,subject_keywords,url_original_object
384097,415648,384097,"Հայ նոր գրականության պատմություն, հատոր 2",,1962.0,1962.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականագիտություն Հայ գրականության պատմություն,https://arar.sci.am/dlibra/publication/415648/edition/384097
384098,415650,384098,"Հայ նոր գրականության պատմություն, հատոր 3",,1964.0,1964.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականագիտություն Հայ գրականության պատմություն,https://arar.sci.am/dlibra/publication/415650/edition/384098
384110,415653,384110,"Հայ նոր գրականության պատմություն, հատոր 4",,1972.0,1972.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականագիտություն Հայ գրականության պատմություն,https://arar.sci.am/dlibra/publication/415653/edition/384110
384111,415654,384111,"Հայ նոր գրականության պատմություն, հատոր 5",,1979.0,1979.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Հայ գրականագիտություն Հայ գրականության պատմություն,https://arar.sci.am/dlibra/publication/415654/edition/384111
408626,442579,408626,"Հայոց գրականության երկու դարը, Գ․ 6","Սարինյան, Սերգեյ",2016.0,2016.0,Երևան,Գրական Էտալոն,hy,Հայ գրականագիտություն,https://arar.sci.am/dlibra/publication/442579/edition/408626
388007,419781,388007,Հայոց հին գուսանական երգերը,"Գրիգորյան, Շ. Ս.",1971.0,1971.0,Երևան,Հայկական ՍՍՀ ԳԱ հրատ.,hy,Գուսանական արվեստ,https://arar.sci.am/dlibra/publication/419781/edition/388007
390259,423046,390259,Հայոց հին գրականութեան պատմութիւն,"Աբեղեան, Մանուկ",1959.0,1959.0,Պէյրութ,տպ․ Սեւան,hy,Հայ գրականության պատմութիւն,https://arar.sci.am/dlibra/publication/423046/edition/390259
379254,410386,379254,Հայոց հին գրականութեան պատմութիւն (Սկզբից մինչեւ X դար),"Աբեղեան, Մանուկ",1955.0,1955.0,Պէյրութ,տպ․ Սեւան,hy,Հայ գրականութեան պատմութիւն,https://arar.sci.am/dlibra/publication/410386/edition/379254
408630,442583,408630,Հայոց նորագույն գրականություն,"Եղիազարյան, Ազատ",2004.0,2004.0,Երևան,ՀՀ ԳԱԱ «Գիտություն» հրատ․,hy,Հայ գրականության պատմություն,https://arar.sci.am/dlibra/publication/442583/edition/408630
376999,407734,376999,Հայ պարբերական մամուլի պատմությունից,,1963.0,1963.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Մամուլ Պարբերական հրատարակություններ,https://arar.sci.am/dlibra/publication/407734/edition/376999
375215,406224,375215,Հայ-ռուս գրական կապերի շուրջը,"Նանումյան, Ռուզան",1945.0,1945.0,Երևան,ՀՍՍՌ ԳԱ հրատ.,hy,Հայ գրականության պատմություն Հայ-ռուսական կապեր,https://arar.sci.am/dlibra/publication/406224/edition/375215
424215,457095,424215,"Հայ սովետական գրականության պատմություն, 1","Աղաբաբյան, Սուրեն Բարդուղի",1986.0,1986.0,Երևան,Հայկական ՍՍՀ ԳԱ հրատ.,hy,Հայ գրականագիտություն,https://arar.sci.am/dlibra/publication/457095/edition/424215
408628,442581,408628,Հայ սովետական պոեզիայի պատմություն 1920-1970,"Գասպարյան, Դ. ; Սաֆարյան, Վ․ ; Բոդոսյան, Ս.",1987.0,1987.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Հայ գրականության պատմություն Սովետական պոեզիա,https://arar.sci.am/dlibra/publication/442581/edition/408628
402069,434520,402069,Հայ քննադատական միտքը 1920-ական թվականներին,"Գյուլնազարյան, Խ․ Մ.",1971.0,1971.0,Երևան,Հայկական ՍՍՀ ԳԱ հրատ.,hy,Հայ գրականագիտություն,https://arar.sci.am/dlibra/publication/434520/edition/402069
422988,455695,422988,"Հայ քննադատության պատմություն, 1",,1985.0,1985.0,Երևան,ՀՍՍՀ ԳԱ հրատ.,hy,Հայ քննադատության պատմություն,https://arar.sci.am/dlibra/publication/455695/edition/422988
424217,457097,424217,"Հայ քննադատության պատմություն, 2",,1998.0,1998.0,Երևան,ՀՀ ԳԱԱ «Գիտություն» հրատ,hy,Հայ քննադատության պատմություն,https://arar.sci.am/dlibra/publication/457097/edition/424217
403664,435555,403664,Հարություն Ալամդարյան,"Գևորգյան, Էլմիրա",1977.0,1977.0,Երևան,Հայկական ՍՍՀ ԳԱ հրատ.,hy,Հարություն Ալամդարյան Հայ գրականագիտություն,https://arar.sci.am/dlibra/publication/435555/edition/403664
